Key,Pool
52gal,s
96gal,S
bold,s
bottlegeyser,S
heroshooter_replica,s
jetsweeper,S
momiji,s
nzap85,s
prime,S
prime_collabo,S
promodeler_mg,s
promodeler_rg,s
sharp,s
spaceshooter,S
sshooter,s
sshooter_collabo,s
wakaba,s
clashblaster,b
hotblaster,b
longblaster,B
nova,b
nova_neo,b
rapid,B
rapid_elite,B
h3reelgun,S
l3reelgun,s
dualsweeper,S
kelvin525,S
maneuver,s
quadhopper_black,s
sputtery,s
sputtery_hue,s
carbon,r
carbon_deco,r
dynamo,R
splatroller,r
variableroller,R
wideroller,R
hokusai,r
pablo,r
pablo_hue,r
drivewiper,r
jimuwiper,R
bamboo14mk1,c
liter4k,C
liter4k_scope,C
rpen_5h,c
soytuber,c
splatcharger,C
splatscope,C
squiclean_a,c
bucketslosher,b
bucketslosher_deco,b
explosher,B
furo,B
hissen,b
screwslosher,b
barrelspinner,L
hydra,L
kugelschreiber,L
nautilus47,S
splatspinner,S
splatspinner_collabo,S
campingshelter,R
parashelter,r
spygadget,r
lact450,S
tristringer,L
